"Slice","AgeGroup","Treatment","Date","Age","Sex","Weight","rSoln","xSoln","Cut.Time","Rig","HP","FirstIO","StimFile","StimMag","Comment","KO","mVmax","t_mVmax","LTD","-15","-14","-13","-12","-11","-10","-9","-8","-7","-6","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59"
"P14f-AP5F_1-AP02","PND14","AP5[50uM]","2017_11_09",13,"M",27,"rACSF","rACSF",NA,"Luis",NA,"2017_11_09_1000.atf","2017_11_09_1003.abf","0.05","Omit: AP5 for full exp","Omit",-0.687031332255303,3.66,42.7911855527067,6.28120578795776,19.496017803521,11.1211420146152,14.3907779276444,13.5799175911147,23.7109763949432,19.9684929831494,6.23887746173703,8.80920833126793,21.8194566637471,8.26132760570087,12.1655807674368,-2.2097877481751,-3.2326311468389,-14.9844894781237,-40.2018395116691,-28.2359182556409,-10.2004920890143,-11.9948428633239,-23.29079746263,-19.309923399031,-3.94055076573785,10.246339386484,36.9136337457419,30.1742609466218,23.1831617596012,21.7964988502224,29.1657524836084,19.4961674319546,16.1376054267766,18.2574912684202,48.4590232366358,49.2388078207424,25.1500693406125,17.2275540879393,-3.5314138127324,43.3901721347754,-8.44934527354117,10.6141158876501,-0.39282827691801,12.2966357881323,13.4583749097714,-4.43012121751542,-4.67154403384747,21.3263620877473,10.1057406901344,12.0167777614616,36.3889329752946,1.01226751245889,22.6568642760701,21.5971748458985,5.57906643677907,33.6361857460508,17.4193666730277,24.8469101995317,21.337829073299,35.298710901285,-0.595208203594765,25.7500967189633,21.4217888473953,40.4070664526411,28.6720890137993,18.1322000377173,31.5679448904565,23.8869927921119,17.4869378873054,37.4867225346564,47.1198451868678,33.5012381190976,45.9602024493986,49.5747563192191,36.3507191145932,42.2371186748846,40.0138476020234,45.779486052813
"P14f-AP5F_2-AP03","PND14","AP5[50uM]","2017_11_09",13,"M",27,"rACSF","rACSF",NA,"Luis",NA,"2017_11_09_1007.atf","2017_11_09_1009.abf",NA,"","Omit",-0.664833221435514,4.19,-2.22810436256974,-35.8632091871659,-3.13096842945846,-8.04294469165042,-9.7497864518177,3.66951802035764,-5.19061172514751,-8.68656750755993,13.4279755041449,-8.9123357140794,-4.94735904989179,-4.89225987253423,4.63675476196497,3.80268654657544,-20.1542838309453,16.6071023949391,-62.6051826461625,-27.2720077781144,-46.4980333957111,-32.2924617747444,-43.859014694973,-10.4024411519435,-5.64562028969121,-23.8748962987352,-0.297027470933699,-11.418891762389,-7.97011791091359,-5.11830291923255,-5.34626000581238,-19.3242954865858,10.4051206436928,6.19438969773911,15.718714241236,14.6034807116443,-3.13467524683149,6.95436341668747,8.49212145608502,12.4178476232458,11.9077145720232,5.45418204773918,10.2072362111735,23.3040960281976,-10.6857905562638,10.1011785784305,15.5013324382008,16.5808971586748,15.4259914330777,5.83954076186156,22.260416169727,-7.83312272516665,18.1812898225184,15.814363863912,25.9833087266165,18.2540630109627,0.284833116278605,26.2817773390631,-11.9927570393323,11.7331013917155,39.7261588865119,-9.44245971589099,4.26020101325113,12.0119225407293,20.7514704133768,-3.1086187074342,-11.9705822471091,8.71838986066631,11.7384104329576,9.18228621781829,0.877902385559267,-2.13179627313633,6.66080220048919,-12.0584880504209,-0.424062196966844,-0.342502523513915,3.83585319538489,-2.15132223733185
"P14f-AP5W_1","PND14","AP5[50uM]","2018_01_19",15,"F",40,"rACSF","rACSF",NA,"Scott",NA,"2018_01_19_0003.atf","2018_01_19_0007.abf","0.035","","Keep",-1.35844421386971,3.2,-14.5253211052171,-5.37863926302624,4.27617699513745,-3.51629975159003,-7.28147976354717,-1.14070359760663,-1.8982430763625,-1.16666721132901,-11.902201214828,-0.643676053862634,-8.27179100701134,2.86515813988595,-1.28217867654044,-0.550109673879732,-2.87233837491972,1.839468585454,-43.6114030388179,-26.6136191907934,-35.2004620529797,-31.2995099560504,-29.3789037527473,-32.6447107279145,-29.9678798199224,-29.4551553743083,-37.2881844731784,-36.1616123258162,-33.5923608981684,-29.5249363163687,-31.4869737097521,-22.7610283785185,-26.6755275942258,-26.6412143860378,-24.8497081317604,-25.0755155658767,-14.5049719424482,-15.9122011582238,-21.3028037928505,-23.651110899015,-28.2006968603167,-17.8740881096751,-16.9015745885239,-22.544245575884,-12.0410641056046,-15.3008959748598,-11.7385203917797,-12.7443161439612,-15.8292510293944,-9.81110335552354,-14.714073267773,-18.1753680145315,-16.1337095275661,-17.0395658160107,-21.308089434796,-20.6370202653229,-15.5391835051035,-21.3846185639535,-21.3753376750103,-10.4756554593503,-14.1458898423942,-20.488362969073,-16.2433549776486,-16.9487486557027,-22.4632863866542,-3.84598094219743,-14.8248824154882,-11.5655852974294,-14.5175635643467,-13.042365626548,-8.60206038613259,-6.53335652086569,-6.52389724642791,-14.9119742382282,-11.3446175301144,-17.4866536995515,-12.6423778261038,-16.2409822320875
"P14f-AP5W_2","PND14","AP5[50uM]","2018_02_26",15,"F",35,"rACSF","rACSF",NA,"Scott",NA,"2018_02_26_0009.atf","2018_02_26_0016.abf","0.03","Did HFS after LTD","Keep",-1.48431701660331,2.91,-20.5683749461309,-1.75140348411007,-3.94599929949415,-10.8515126285915,-6.30031493740421,-1.18696525496344,-7.22903639171648,-6.41913025743604,-0.980406904579311,0.303695254030274,-3.44196828122824,0.705150518839659,-0.187496139271033,-1.70848238773907,1.24805924940317,-0.0572312412326852,-58.4417391902365,-56.6980506699567,-43.7354982126119,-54.6167610699838,-47.7009830687646,-37.4499788274709,-40.9092826512332,-37.8375947269727,-22.6084661813877,-28.7489474602652,-24.8407837305822,-22.4105349969232,-19.9831449530833,-15.8086858565674,-15.6158345719842,-22.8440193576992,-16.7486669344826,-15.21713616485,-16.0209365474939,-13.8080167248681,-16.8047433623612,-19.990685245746,-16.9359314112749,-12.4478007384113,-13.6084230464048,-14.7096645851665,-16.8799891265914,-12.9885882896166,-11.1781720266907,-12.7476822176396,-12.4638368265603,-6.80981956964708,-11.5666785492496,-13.1372016225374,-15.4374962209971,-14.899841414064,-19.3690150118342,-15.912725664843,-16.6335396069472,-17.3925975314173,-13.369269654939,-15.8195770334115,-11.0914716035976,-12.8804874737188,-11.7704623124858,-13.1595379088233,-13.2148334598355,-8.74544779544844,-12.5337083584842,-12.8494324053099,-12.5307839282018,-13.8953597636671,-17.0832205918112,-12.9068300839508,-17.1544431550301,-16.3474568877133,-18.4614821419498,-21.6145659020562,-26.7931604689079,-19.6252093300275
"P14f-AP5W_3","PND14","AP5[50uM]","2018_06_20",14,"F",28.9,"rACSF","rACSF","9:00","Scott",NA,"2018_06_20_0007.atf","2018_06_20_0012.abf","0.05","","Omit",-1.37873840332234,2.62,19.593604222256,0.108012916573827,9.30608619897697,4.98499153098304,-1.22029409864149,-3.80287251578983,21.5887300242692,-7.37566513181629,-4.01860763148862,8.02827639043426,-1.89331557702991,-11.2586510917685,1.63340188349544,-5.64484954222807,0.641585322941879,14.6285134275593,-7.51667461077088,-10.4277425034882,-17.2087246667024,-18.5161403027395,-16.1385233284323,-14.6250569586686,-16.4083509163383,-15.8181848976356,-15.0615895004144,-1.45112010816352,-1.56910206620611,-12.8260807323179,-8.97056927791856,1.10924641888262,1.33962781438895,0.480498687019363,-4.89447739428093,-5.85076982515749,-11.0492206557003,0.835929875397852,-5.23689508856489,7.97931403324741,9.43381174611666,6.27614275832428,7.96079205317687,7.42791187395686,-3.97716137492563,12.1449209166494,-1.58418303816691,0.223988324982756,2.4342433703429,11.3010827336981,-2.70750266320758,1.19659011372826,3.27500683154803,6.78736345025463,4.56649951748977,0.193210946633243,6.80111174424458,3.2103683191411,0.633752913987266,9.73150718213624,5.94903511305726,4.22095362404424,1.47508865486769,2.29628933489442,15.5729311954816,11.8688803964245,4.48552378427523,-1.5706781931607,8.62900853362645,17.6414949386094,-3.76717140611473,10.5617702040947,-0.136904971299785,15.1083023685895,18.7595552030684,15.8100782654108,9.97974244647723,38.3103428277343
"P14f-AP5W_4","PND14","AP5[50uM]","2018_06_21",15,"M",32,"rACSF","rACSF","11:30","Scott",NA,"2018_06_21_0000.atf","2018_06_21_0008.abf","0.06","[25uM] AP5","Omit",-1.22283477783478,3.58,-6.05173348330793,-3.38079850780831,-5.08822530907925,-11.477711240735,-13.4079000710416,-6.89178956563876,-5.71718902001653,-7.88822098861547,-11.2969033717495,-5.20620882517414,-10.6302659462879,-2.41222157927849,3.00623615480571,-2.07644081628274,0.0388953829602485,1.44353085779525,-45.1569416839967,-40.7956850087393,-32.3945704773274,-28.0819940792933,-23.5876031739217,-19.6356893150943,-26.4644941617724,-30.5797969335415,-29.4844853509759,-32.7383758684821,-23.4401882447936,-20.1971211499105,-19.4978224990831,-22.357811196377,-7.62368781326327,-15.4611836549142,-15.4856636206549,-7.21585785487731,-18.8917563782763,-9.11357083865236,-16.8697978103672,-10.5860606034911,-11.5617546877166,-12.9693851199096,-10.7678475862283,-19.515352237161,-15.3707575717744,-20.5391519299994,-20.1317627515161,-16.4944818026423,-11.4907503372711,-8.84162238827874,-10.3595835148147,-10.3124395859165,-13.5430901989386,0.541606979430838,-3.90370188928453,-1.57275188100327,-3.48295795284457,-4.07243811390715,-5.504512161059,0.231304959618654,-9.17619335121762,-8.91900195143288,-4.23703857733398,-22.9400320088503,-16.4401271428582,-3.09223383963325,-8.07215291873007,-10.2604204585523,-12.3669870436203,-13.5037936975003,-10.9059653775582,-2.67822985453236,-7.81063007721339,-3.49769945323094,-1.32216066899009,-7.106617643413,-7.11291501592639,-11.2192746349793
"P14f-AP5W_5","PND14","AP5[50uM]","2018_06_21",15,"M",32,"rACSF","rACSF",NA,"Luis",NA,"2018_06_21_1008.atf","2018_06_21_1013.abf",NA,"","Keep",-0.382317840575699,4.21,-12.9483007268724,12.5786378199761,1.17982149495504,-2.54965248619912,0.927114481234483,4.66488735375579,4.35911420191231,-1.36466463974585,-1.89731305565901,-2.62562823066453,2.41086233357186,-2.11846091393953,6.55633274440535,-1.25899991210437,3.94183203404303,-7.12070395240445,-23.3028362788238,-16.4486552412374,-6.67946020186463,-2.7905540435529,-0.647687379919802,0.234332574323105,-1.55694171777432,-14.9153478265815,-20.0514250595225,-12.1833769284612,-15.5704925193285,-19.5989602778654,-16.1861298235426,-17.9957551781941,-21.5600695775582,-22.2457214550533,-16.8113517592366,-16.3994463354677,-15.6246106247883,-16.2547417631546,-11.9022666737609,-3.21145966629228,-19.4669962534375,-17.8487128893878,-13.9018313870333,-26.3016573702754,-21.0571101471333,-24.2943781925347,-25.5600172161816,-30.9184111686637,-40.5017578444956,-30.3546711424099,-44.6263057036861,-33.8991149630812,-41.4653640597628,-39.1642340788929,-40.7832187591301,-46.0802476860133,-45.8379435024452,-37.104940737014,-41.366595592479,-36.1560621285107,-35.0548813718473,-31.8226394163078,-44.9030911839517,-20.1424790686736,-26.4042830687104,-31.0384528443444,-27.2456267779743,-34.8000704123337,-21.957481168489,-17.6992160008129,-18.2512674510129,-17.7348661579852,-22.3126969968949,-18.706537491012,-14.2284102068451,-15.5685054595883,-2.67401893719253,-13.5640315397242
"P14f-AP5W_6","PND14","AP5[50uM]","2018_06_21",15,"M",32,"rACSF","rACSF",NA,"Scott",NA,"2018_06_21_0022.atf","2018_06_21_0027.abf",NA,"","Omit",-0.733512878421469,3.59,1.01108669424997,-14.6992512097021,-4.962492744258,-7.11541045041133,-13.6477989746934,-14.0117800329689,-15.2637852698704,-24.14004375494,-9.35961809986145,-5.5305296422649,4.20793462285522,-0.87931770025736,3.7907057514702,-6.46881472250203,6.84225182024308,-3.28482514895386,-12.679520494192,-14.6156809478554,-12.1053860348763,-16.4878403566159,-13.1214942236727,-18.8798599243217,-12.1780643655227,2.61484123914582,-7.46217056446945,-2.77851524748215,-1.7133923369457,0.995619316195558,3.1554847334307,10.6320657618609,1.37545968150256,5.44073160489343,-3.40833345448945,11.5831717310674,11.5030322280048,24.5614614474669,15.1516043817939,27.6212024413484,9.76832697000623,10.8184310363161,22.3796271300096,10.8830723537633,17.2469805439117,17.0640254907904,20.9252584169512,34.6074705792787,28.8350092638756,16.4146854665896,46.0586816718379,23.700367275541,-3.55960325113176,8.05563821645366,15.8355356043876,50.0861107767898,31.3341369702339,22.5308635423774,4.35106690978988,12.8027635594799,14.3523830699686,-6.88459544429908,4.83108736364034,5.2191599830855,22.132327212699,4.18676657974156,-2.70083900061874,-9.2496993266458,-0.173920118805853,-23.2994007553998,5.42323894130303,-3.06542830483029,-4.12262542770324,0.869941849268855,5.02167608001368,-6.78071051508975,0.000116389631088509,5.944409667426
"P14f-AP5W_7","PND14","AP5[50uM]","2018_10_10",13,"M",25.9,"rACSF","rACSF","9:00","Sunny","R2","2018_10_10_2001.atf","2018_10_10_2008.abf",NA,"","Omit",-1.34103381347744,4.22,7.82304803008627,-15.9805932454699,-9.88577590535323,-14.0123675570578,-12.1120763161894,-16.3985819442331,-13.7071826275706,-7.98755674570779,1.62933214831513,0.435293686677724,-7.54472664527803,-8.70405219913685,-0.352564276314865,-0.0400294768698046,8.59410311863742,0.502542833684146,-15.6113600810527,4.79321884472373,10.5300684667926,14.1594368572483,16.9337405624593,17.6429997877427,18.3725183243775,14.6807033394173,22.11915404687,23.8746205956139,23.7908944031402,24.9048425822438,17.6938297300919,19.6962656845698,20.6090586518583,21.9108202751526,18.630042612313,23.8712018939896,23.5675111326738,23.5731825619992,19.8991208760977,12.910230139137,18.504290779161,20.6202000854422,23.1717577874769,21.5487909820151,21.9957702716882,17.5442702061537,16.4360222794296,16.3212870540075,17.9136438910234,12.1912134988399,15.5198002535549,14.1057176875045,15.0632688593121,17.6120290389274,17.2941219707545,14.3970789318003,18.1438840977285,11.4033232568816,12.34667614717,10.3113474069615,12.9659356321289,11.0080064107994,13.9556986674538,8.29164420542369,9.03008572170583,3.92674472852748,5.81577178071322,10.24346526563,11.6620116931675,-0.351592997367732,1.02055567661669,12.8958618112412,9.70764691593611,8.96124748864449,5.26446839119174,4.35488070096675,13.379766181986,7.15487738764237
"P14f-AP5W_8","PND14","AP5[50uM]","2018_10_10",13,"M",25.9,"rACSF","rACSF","9:00","Scott","L3","2018_10_10_0012.atf","2018_10_10_0018.abf","0.0","","Keep",-0.939359436035129,2.9,-12.4531140199014,-7.25922283216785,3.13618576805581,1.20790627036777,-2.84165156360328,2.44052366561003,-4.0066906452756,-5.83356897842341,5.06163618753395,5.6953833827319,-0.434491083476289,-2.64918788352294,-1.62885248323089,0.124073630050916,4.3704990693637,-0.216532332660819,-19.6138160014028,-6.27708302701726,2.0685744500587,3.18056983434352,8.61803262542522,6.60322648032093,14.3259730908641,13.6454028494939,31.1013899464569,27.7170335012808,27.9210098226478,29.1896520770081,20.3206132940236,18.6144261800675,17.559452147514,11.2423293419288,9.77595050082725,4.20708788725806,-8.28501404722461,4.22979090176912,-6.61354532299269,-16.5329390428971,-10.4456929777491,-5.80742901262271,-6.2406360465919,-14.5946854187735,-12.425011585434,-9.1838642676294,-7.93689849841776,-1.30641695817931,-1.09743922142106,-9.5787146129536,-1.40798588302101,2.43226108456196,-3.89937995091665,0.763437331855044,-15.4231566257124,-2.82686349722678,-13.1648208755088,-12.1951614558906,3.24566537487297,-0.518877646362284,4.71046218682503,5.52222019762192,0.650817094903317,4.40141824545717,-3.05313348472264,-1.07476840056837,5.76479087891491,-12.6776165755044,-14.0973758131375,-6.73736043463767,-5.47882614524769,-4.8137972159936,-6.55885855256574,-12.7064538162203,-14.7746093678707,-10.7262201993589,-10.7895855635413,-13.2687011525158
