"Cell","AgeGroup","Exp","tmnt","mag","Protocol","Course","Time","TCOR","norm"
"1","17104.P1","PND21","EtOH[100mM]","Control",166.836685249046,"NMDAr",5,-20,-12,1.2226434786313
"2","17104.P1","PND21","EtOH[100mM]","Control",168.239040558182,"NMDAr",5,-19,-11,1.23292047838635
"3","17104.P1","PND21","EtOH[100mM]","Control",137.438086384988,"NMDAr",5,-18,-10,1.00719922469888
"4","17104.P1","PND21","EtOH[100mM]","Control",104.442773127032,"NMDAr",5,-17,-9,0.765396862586394
"5","17104.P1","PND21","EtOH[100mM]","Control",158.306295959277,"NMDAr",7,-12,-8,1.16012950084665
"6","17104.P1","PND21","EtOH[100mM]","Control",149.12195859789,"NMDAr",7,-11,-7,1.09282313975654
"7","17104.P1","PND21","EtOH[100mM]","Control",210.425957267208,"NMDAr",7,-10,-6,1.54208245029233
"8","17104.P1","PND21","EtOH[100mM]","Control",184.602274527994,"NMDAr",7,-9,-5,1.3528365584298
"9","17104.P1","PND21","EtOH[100mM]","Control",130.077537534446,"NMDAr",9,-4,-4,0.953258288160681
"10","17104.P1","PND21","EtOH[100mM]","Control",159.367145053235,"NMDAr",9,-3,-3,1.16790381154219
"11","17104.P1","PND21","EtOH[100mM]","Control",91.8215753448104,"NMDAr",9,-2,-2,0.672903864790892
"12","17104.P1","PND21","EtOH[100mM]","Control",116.410022837636,"NMDAr",9,-1,-1,0.853097477076432
"13","17104.P1","PND21","EtOH[100mM]","100mM",102.880563844834,"NMDAr",11,4,0,0.753948391356668
"14","17104.P1","PND21","EtOH[100mM]","100mM",108.373727646423,"NMDAr",11,5,1,0.794204411122589
"15","17104.P1","PND21","EtOH[100mM]","100mM",131.472626753897,"NMDAr",11,6,2,0.963482039212342
"16","17104.P1","PND21","EtOH[100mM]","100mM",103.381924033074,"NMDAr",11,7,3,0.757622551890857
"17","17104.P1","PND21","EtOH[100mM]","100mM",42.0488610050183,"NMDAr",13,12,4,0.308150246541496
"18","17104.P1","PND21","EtOH[100mM]","100mM",62.226792059267,"NMDAr",13,13,5,0.456021895866836
"19","17104.P1","PND21","EtOH[100mM]","100mM",55.1060241683187,"NMDAr",13,14,6,0.403838166540645
"20","17104.P1","PND21","EtOH[100mM]","100mM",42.7536717044287,"NMDAr",13,15,7,0.313315370770722
"21","17104.P1","PND21","EtOH[100mM]","100mM",38.6410649429219,"NMDAr",15,20,8,0.283176604649678
"22","17104.P1","PND21","EtOH[100mM]","100mM",14.0090209119881,"NMDAr",15,21,9,0.102663500143771
"23","17104.P1","PND21","EtOH[100mM]","100mM",19.0662193324986,"NMDAr",15,22,10,0.139724597706047
"24","17104.P1","PND21","EtOH[100mM]","100mM",23.5639288472912,"NMDAr",15,23,11,0.172685545106976
"25","17106.P2","PND21","EtOH[100mM]","Control",214.851005885154,"NMDAr",5,-12,-8,0.856174101377682
"26","17106.P2","PND21","EtOH[100mM]","Control",222.32781217065,"NMDAr",5,-11,-7,0.885968925359476
"27","17106.P2","PND21","EtOH[100mM]","Control",222.335078260335,"NMDAr",5,-10,-6,0.885997880484825
"28","17106.P2","PND21","EtOH[100mM]","Control",213.51404538318,"NMDAr",5,-9,-5,0.850846358313883
"29","17106.P2","PND21","EtOH[100mM]","Control",243.421270525164,"NMDAr",7,-4,-4,0.970025654241059
"30","17106.P2","PND21","EtOH[100mM]","Control",263.112373570541,"NMDAr",7,-3,-3,1.04849404393072
"31","17106.P2","PND21","EtOH[100mM]","Control",276.627300383974,"NMDAr",7,-2,-2,1.10235057707565
"32","17106.P2","PND21","EtOH[100mM]","Control",258.040642970662,"NMDAr",7,-1,-1,1.02828336643869
"33","17106.P2","PND21","EtOH[100mM]","100mM",265.241337848141,"NMDAr",9,4,0,1.05697789565731
"34","17106.P2","PND21","EtOH[100mM]","100mM",257.495686244313,"NMDAr",9,5,1,1.02611173203769
"35","17106.P2","PND21","EtOH[100mM]","100mM",267.442963022587,"NMDAr",9,6,2,1.06575129863737
"36","17106.P2","PND21","EtOH[100mM]","100mM",264.841702915485,"NMDAr",9,7,3,1.05538536376324
"37","17106.P2","PND21","EtOH[100mM]","100mM",262.509288126716,"NMDAr",11,12,4,1.04609076852694
"38","17106.P2","PND21","EtOH[100mM]","100mM",246.712809152306,"NMDAr",11,13,5,0.983142326023129
"39","17106.P2","PND21","EtOH[100mM]","100mM",243.537527960118,"NMDAr",11,14,6,0.970488936246605
"40","17106.P2","PND21","EtOH[100mM]","100mM",242.411284058998,"NMDAr",11,15,7,0.966000891817859
"41","17106.P2","PND21","EtOH[100mM]","100mM",227.181560079991,"NMDAr",13,20,8,0.9053109490911
"42","17106.P2","PND21","EtOH[100mM]","100mM",222.916365435106,"NMDAr",13,21,9,0.888314290512562
"43","17106.P2","PND21","EtOH[100mM]","100mM",218.404123740944,"NMDAr",13,22,10,0.870333157672239
"44","17106.P2","PND21","EtOH[100mM]","100mM",209.692082209059,"NMDAr",13,23,11,0.8356159623815
"45","17106.P3","PND21","EtOH[100mM]","Control",90.9133141342305,"NMDAr",5,-20,-12,0.855989601149351
"46","17106.P3","PND21","EtOH[100mM]","Control",90.4846148428364,"NMDAr",5,-19,-11,0.851953205172062
"47","17106.P3","PND21","EtOH[100mM]","Control",93.9214752636717,"NMDAr",5,-18,-10,0.884312786481497
"48","17106.P3","PND21","EtOH[100mM]","Control",77.3765890517436,"NMDAr",5,-17,-9,0.728535267154683
"49","17106.P3","PND21","EtOH[100mM]","Control",97.7652367068466,"NMDAr",7,-12,-8,0.920503523294794
"50","17106.P3","PND21","EtOH[100mM]","Control",117.608927635602,"NMDAr",7,-11,-7,1.10734076759937
"51","17106.P3","PND21","EtOH[100mM]","Control",122.738786952958,"NMDAr",7,-10,-6,1.15564069234453
"52","17106.P3","PND21","EtOH[100mM]","Control",100.511818607641,"NMDAr",7,-9,-5,0.946363822945886
"53","17106.P3","PND21","EtOH[100mM]","Control",108.5263155298,"NMDAr",9,-4,-4,1.0218239036738
"54","17106.P3","PND21","EtOH[100mM]","Control",113.837827089273,"NMDAr",9,-3,-3,1.07183416569748
"55","17106.P3","PND21","EtOH[100mM]","Control",107.937762265344,"NMDAr",9,-2,-2,1.01628241089143
