"Slice","AgeGroup","Treatment","Date","Age","Sex","Weight","rSoln","xSoln","Cut.Time","Rig","HP","FirstIO","StimFile","StimMag","Comment","PPreR_f","PPreR_t","PPostR_1"
"P14f-CS_13-CS37","PND14","Control","2018_01_14",14,"M",29.5,"rACSF","rACSF",NA,"Sunny","Mid","2018_01_14_2000.atf","2018_01_14_2003.abf","0.05","",1.13136321731557,NA,1.01546324963229
"P14f-CS_14-CS38","PND14","Control","2018_01_14",14,"M",29.5,"rACSF","rACSF",NA,"Scott","Ven","2018_01_14_0009.atf","2018_01_14_0012.abf","0.05","Potential flow issue",0.930494358872204,NA,0.936324618068858
"P14f-CS_15-CS39","PND14","Control","2018_01_14",14,"M",29.5,"rACSF","rACSF",NA,"Luis","Mid","2018_01_14_1007.atf","2018_01_14_1010.abf","0.05","",0.921182114059427,NA,0.882759105924768
"P14f-CS_16-CS40","PND14","Control","2018_01_15",15,"M",35,"rACSF","rACSF",NA,"Scott","Mid","2018_01_15_0006.atf","2018_01_15_0009.abf","0.04","",0.913896046760103,NA,0.927997591191462
"P14f-CS_17-CS41","PND14","Control","2018_01_15",15,"M",35,"rACSF","rACSF",NA,"Luis","Mid","2018_01_15_1004.atf","2018_01_15_1007.abf","0.03","Temp not working on luis rig. Potential source of earlier 2 days issues",0.906638407214051,NA,0.881656802724497
"P14f-CS_18-CS42","PND14","Control","2018_01_15",15,"M",35,"rACSF","rACSF",NA,"Scott","Mid","2018_01_15_0014.atf","2018_01_15_0017.abf","0.02","Omit flow issue",0.98607178324352,NA,0.975386349438789
"P14f-CS_19-CS43","PND14","Control","2018_01_15",15,"M",35,"rACSF","rACSF",NA,"Luis",NA,"2018_01_15_1011.atf","2018_01_15_1014.abf","0.035","Omit temp broken",0.958779014293951,NA,0.944503963322865
"P14f-CS_20-CS44","PND14","Control","2018_01_17",13,"M",35,"rACSF","rACSF",NA,"Luis",NA,"2018_01_17_1003.atf","2018_01_17_1007.abf","0.05","Omit: temp broken",0.85377432983236,NA,0.87541985667589
"P14f-CS_21-CS45","PND14","Control","2018_01_18",14,"F",37,"rACSF","rACSF",NA,"Scott","X2","2018_01_18_0003.atf","2018_01_18_0007.abf","0.02","",0.921425895498783,NA,0.900046597995546
"P14f-CS_22-CS46","PND14","Control","2018_01_18",14,"F",37,"rACSF","rACSF",NA,"Luis","X3","2018_01_18_1000.atf","2018_01_18_1003.abf","0.03","This was when heating issue on Luis rig was noticed",0.863915351776867,NA,0.93526074796129
"P14f-CS_23-CS47","PND14","Control","2018_01_19",15,"F",40,"rACSF","rACSF",NA,"Luis",NA,"2018_01_19_1005.atf","2018_01_19_1009.abf","0.05","",0.940444575785432,NA,0.914891392457825
"P14f-CS_24-CS48","PND14","Control","2018_06_20",14,"F",28.9,"rACSF","rACSF",NA,"Luis",NA,"2018_06_20_1006.atf","2018_06_20_1009.abf","0.05","",0.795601689762774,NA,0.864803798076377
"P14f-CS_25","PND14","Control","2018_10_12",15,"F",33,"rACSF","Sucrose","6:50","Luis","L3","2018_10_12_1019.atf","2018_10_12_1024.abf","0.04","",0.88505768019091,NA,0.908773274879519
"P14f-CS_26","PND14","Control","2018_10_12",15,"F",33,"rACSF","Sucrose","6:50","Scott",NA,"2018_10_12_0035.atf","2018_10_12_0038.abf","0.0","",1.01040730761574,NA,1.03788670908119
"P14f-CS_27","PND14","Control","2018_11_29",13,"M",27.3,"rACSF","rACSF","10:15","Scott","L3","2018_11_29_0000.atf","2018_11_29_0005.abf","0.05","",0.850282861906664,NA,0.87463247140254
"P14f-S_2-S3","PND14","EtOH[50mM]","2017_07_07",15,"M",35,"rACSF","rACSF",NA,"Scott",NA,"2017_07_07_0000.atf","2017_07_07_0004.abf","0.05","",0.820285489337117,NA,0.79577961449164
"P14f-S_3-S4","PND14","EtOH[50mM]","2017_07_07",15,"M",35,"rACSF","rACSF",NA,"Scott",NA,"2017_07_07_0012.atf","2017_07_07_0016.abf","0.05","",1.02163224564389,NA,0.966095455822339
"P14f-S_4-S9","PND14","EtOH[50mM]","2017_08_16",13,"M",35,"rACSF","rACSF",NA,"Scott",NA,"2017_08_16_0000.atf","2017_08_16_0004.abf","0.04","Great recording w LTD",0.820614127534843,NA,0.915663412680237
"P14f-S_5-S10","PND14","EtOH[50mM]","2017_08_16",13,"M",35,"rACSF","rACSF",NA,"Scott",NA,"2017_08_16_0011.atf","2017_08_16_0015.abf","0.05","",0.794243187040347,NA,0.863601919674671
"P14f-S_6-S11","PND14","EtOH[50mM]","2018_01_17",13,"M",35,"rACSF","rACSF",NA,"Scott",NA,"2018_01_17_0016.atf","2018_01_17_0020.abf","0.028","",0.870064692659117,NA,0.918119749516615
"P14f-S_7-S12","PND14","EtOH[50mM]","2018_01_17",13,"F",33,"rACSF","rACSF",NA,"Scott","X3","2018_01_17_0026.atf","2018_01_17_0031.abf","0.02","2nd animal of the day",0.913063669307176,NA,0.892202706237724
"P14f-S_8-S13","PND14","EtOH[50mM]","2018_01_17",13,"F",33,"rACSF","rACSF",NA,"Scott",NA,"2018_01_17_0039.atf","2018_01_17_0044.abf","0.03","First IO done at 0.03 mA",0.840266157392992,NA,0.962130129064113
"P14f-S_9-S14","PND14","EtOH[50mM]","2018_01_18",14,"F",37,"rACSF","rACSF",NA,"Scott",NA,"2018_01_18_0011.atf","2018_01_18_0015.abf","0.02","",0.87766788441773,NA,0.932706720747134
"P14f-S_10","PND14","EtOH[50mM]","2018_10_11",14,"M",31,"rACSF","Sucrose","6:45","Luis","R2","2018_10_11_1000.atf","2018_10_11_1006.abf","0.035","",0.826531739770647,0.855211380514824,0.884404018296687
"P14f-S_11","PND14","EtOH[50mM]","2018_10_11",14,"M",31,"rACSF","Sucrose","6:45","Scott","R3","2018_10_11_0026.atf","2018_10_11_0032.abf","0.035","",0.819035850625189,NA,0.939775713972394
"P14f-S_12","PND14","EtOH[50mM]","2018_10_11",14,"M",31,"rACSF","Sucrose","6:45","Luis","L3","2018_10_11_1015.atf","2018_10_11_1020.abf","0.03","",0.822822397282461,NA,0.852565592610405
"P14f-SS_1-SS6","PND14","EtOH[100mM]","2017_06_15",13,"F",28,"rACSF","rACSF",NA,"Scott",NA,"2017_06_15_0000.atf","2017_06_15_0005.abf",NA,"",0.82821716010657,NA,NA
"P14f-SS_2-SS7","PND14","EtOH[100mM]","2017_06_16",14,"M",31,"rACSF","rACSF",NA,"Scott",NA,"2017_06_16_0003.atf","2017_06_16_0007.abf","0.0","",0.772601917885101,NA,NA
"P14f-SS_3-SS8","PND14","EtOH[100mM]","2017_06_17",15,"M",31,"rACSF","rACSF",NA,"Scott",NA,"2017_06_17_0000.atf","2017_06_17_0004.abf","0.0","",0.938259990121598,NA,NA
"P14f-SS_4-SS24","PND14","EtOH[100mM]","2017_07_06",14,"M",31,"rACSF","rACSF",NA,"Scott",NA,"2017_07_06_0000.atf","2017_07_06_0004.abf","0.08","",0.780164279286873,NA,0.898522889275774
"P14f-SS_5-SS25","PND14","EtOH[100mM]","2017_07_06",14,"M",31,"rACSF","rACSF",NA,"Scott",NA,"2017_07_06_0011.atf","2017_07_06_0015.abf","0.05","Had to create 4 columns in Decay at~Sweep 80 to have 240 Sweeps :0016.atf",0.744035947121264,NA,0.840956213039992
